Address,Port,Address Type,Latency (ms),Latest fetch,Online since
1.1.189.28,8333,IPv4,229.0,1671571800,1670284800
1.116.110.123,8333,IPv4,210.9228650137741,1671505200,1639958400
1.20.158.162,8333,IPv4,197.5,1626821100,1625616000
1.241.172.112,8333,IPv4,248.11111111111111,1626821100,1625788800
1.64.95.233,8333,IPv4,189.1818181818182,1626820200,1624838400
1.65.195.98,8333,IPv4,157.77358490566039,1671572700,1666915200
1.65.207.168,8333,IPv4,195.8,1626908400,1626393600
100.0.15.8,8333,IPv4,111.33333333333333,1626821100,1626307200
100.0.50.189,8333,IPv4,112.1923076923077,1671496200,1662422400
100.1.119.235,8333,IPv4,108.14285714285714,1671504300,1670284800
100.1.150.198,8333,IPv4,114.8641975308642,1671571800,1661817600
100.11.121.50,8333,IPv4,107.40217391304348,1671503400,1663545600
100.11.131.46,8333,IPv4,105.85,1626821100,1624406400
100.11.242.235,8333,IPv4,103.0,1626821100,1626652800
100.14.8.242,8333,IPv4,102.05,1671496200,1667520000
100.14.84.95,8333,IPv4,102.65454545454546,1671571800,1666742400
100.15.129.252,8333,IPv4,125.51851851851852,1671505200,1659830400
100.15.234.166,8333,IPv4,99.125,1671573600,1670630400
100.15.73.166,8333,IPv4,112.02747252747253,1671495300,1653609600
100.16.171.7,8333,IPv4,102.85245901639344,1626821100,1620950400
100.16.230.208,8333,IPv4,109.26344086021506,1671505200,1655424000
100.17.18.18,8333,IPv4,109.57894736842105,1671504300,1668211200
100.19.101.218,20008,IPv4,102.76470588235294,1671571800,1664582400
100.19.55.173,8333,IPv4,104.61904761904762,1626821100,1624147200
100.19.93.57,8333,IPv4,103.17647058823529,1671488100,1669939200
100.2.221.135,8333,IPv4,101.84466019417475,1671504300,1662508800
100.25.223.183,8333,IPv4,99.47619047619048,1626821100,1624492800
100.25.60.57,8333,IPv4,95.16969696969697,1671495300,1656806400
100.34.17.227,8333,IPv4,104.1324200913242,1626846300,1606608000
100.34.24.113,8333,IPv4,101.14117647058823,1671572700,1663372800
100.36.125.152,8333,IPv4,106.33870967741936,1671504300,1666051200
100.36.127.250,8333,IPv4,101.42857142857143,1671571800,1665964800
100.36.136.54,8333,IPv4,108.0,1626846300,1626739200
100.36.139.139,64668,IPv4,98.55555555555556,1626846300,1625702400
100.36.146.102,8333,IPv4,109.88888888888889,1626846300,1620777600
100.36.184.223,8333,IPv4,110.58823529411765,1626909300,1612742400
100.36.19.244,8333,IPv4,109.00649350649351,1626909300,1613088000
100.36.62.250,8333,IPv4,107.53846153846153,1626908400,1624406400
100.37.19.27,8333,IPv4,103.0,1671496200,1671408000
100.37.83.23,8333,IPv4,3716.84,1626909300,1624147200
100.37.87.111,8333,IPv4,103.0625,1671496200,1665532800
100.38.0.49,8333,IPv4,109.5,1671504300,1669766400
100.4.202.11,8333,IPv4,114.03448275862068,1671504300,1668988800
100.40.119.112,8333,IPv4,111.4375,1671495300,1670025600
100.7.50.80,8333,IPv4,109.55555555555556,1671496200,1669766400
100.7.76.170,8333,IPv4,109.90625,1671496200,1664409600
101.100.138.227,8333,IPv4,300.9047619047619,1671505200,1669680000
101.100.139.113,8333,IPv4,299.7083333333333,1671495300,1660694400
101.100.174.138,8333,IPv4,177.5,1626909300,1626652800
101.101.209.80,8333,IPv4,249.76258992805757,1626909300,1614211200
101.132.39.85,8333,IPv4,442.86008230452677,1626820200,1602979200
101.190.156.74,8333,IPv4,295.6666666666667,1626908400,1626566400
101.200.160.24,8333,IPv4,241.86666666666667,1626821100,1623369600
101.200.40.4,8333,IPv4,203.39080459770116,1626819300,1610668800
101.43.125.91,8333,IPv4,214.1877133105802,1671503400,1646092800
101.43.219.104,8333,IPv4,171.08223684210526,1671496200,1645228800
101.58.180.233,8333,IPv4,24.0,1671496200,1671148800
101.83.125.92,8333,IPv4,251.42105263157896,1626845400,1624665600
101.98.167.205,8333,IPv4,294.6309523809524,1626909300,1611619200
102.132.192.141,8333,IPv4,217.34661354581672,1671571800,1648080000
102.132.227.107,8333,IPv4,165.44642857142858,1626821100,1621468800
102.132.245.16,8333,IPv4,278.76176470588234,1626845400,1595289600
102.182.204.96,8333,IPv4,168.5054945054945,1626846300,1601942400
102.65.223.252,8333,IPv4,189.51612903225808,1626845400,1623628800
103.1.184.82,8333,IPv4,275.75,1671571800,1665446400
103.109.101.216,8333,IPv4,179.50824175824175,1671505200,1639958400
103.117.144.170,8333,IPv4,205.88235294117646,1671571800,1668556800
103.117.146.98,8333,IPv4,207.62295081967213,1671504300,1639958400
103.14.245.250,8333,IPv4,161.1290322580645,1671504300,1668816000
103.146.179.129,8333,IPv4,200.54166666666666,1671571800,1669334400
103.155.93.187,8333,IPv4,15.966666666666667,1671495300,1668902400
103.156.165.171,8333,IPv4,188.2608695652174,1671504300,1666742400
103.156.230.193,8333,IPv4,321.4,1671504300,1671062400
103.16.128.63,8333,IPv4,279.2241379310345,1671572700,1661472000
103.21.3.89,8333,IPv4,260.51612903225805,1671504300,1665792000
103.231.42.36,8333,IPv4,126.47286821705427,1671504300,1649030400
103.231.88.10,57857,IPv4,276.6923076923077,1671503400,1661212800
103.239.19.142,8333,IPv4,265.87150837988827,1671495300,1655856000
103.99.168.100,8333,IPv4,223.8224043715847,1671572700,1639958400
103.99.168.130,8333,IPv4,223.05292479108635,1671495300,1639958400
103.99.168.140,8333,IPv4,222.82072829131653,1671503400,1639958400
103.99.170.210,8333,IPv4,159.625,1671504300,1670112000
103.99.170.220,8333,IPv4,164.73333333333332,1671572700,1639958400
104.0.12.27,8333,IPv4,113.25,1626845400,1626480000
104.1.169.215,8333,IPv4,117.25903614457832,1626909300,1611878400
104.1.55.171,8333,IPv4,158.75806451612902,1626821100,1620691200
104.10.173.220,8333,IPv4,179.82022471910113,1671496200,1655596800
104.10.85.187,8333,IPv4,134.66666666666666,1626846300,1624233600
104.11.116.153,8333,IPv4,135.03076923076924,1626909300,1620777600
104.12.66.70,8333,IPv4,200.78353658536585,1626909300,1596844800
104.129.170.190,8333,IPv4,92.51123595505618,1671504300,1639958400
104.13.168.146,8333,IPv4,134.44444444444446,1626845400,1625961600
104.131.175.245,8333,IPv4,82.13793103448276,1626909300,1623888000
104.137.24.27,8333,IPv4,130.9090909090909,1626845400,1625270400
104.139.19.140,8333,IPv4,156.30898876404495,1671503400,1649030400
104.143.2.195,8333,IPv4,122.56824512534818,1671496200,1639958400
104.144.191.18,8333,IPv4,85.05844155844156,1626846300,1613088000
104.151.199.131,8333,IPv4,142.5691699604743,1671571800,1649030400
104.152.187.114,8333,IPv4,119.59756097560975,1626909300,1611964800
104.152.211.225,8333,IPv4,98.6,1626821100,1625702400
104.155.12.33,8333,IPv4,12.0,1671504300,1655337600
104.155.87.142,8333,IPv4,14.553191489361701,1671572700,1667433600
104.156.12.246,8333,IPv4,380.1666666666667,1626821100,1623196800
104.156.225.206,8333,IPv4,84.16438356164383,1671495300,1650844800
104.156.227.60,8333,IPv4,83.6647564469914,1626845400,1595289600
104.156.250.138,8333,IPv4,81.57834757834758,1626821100,1595203200
104.163.178.172,8333,IPv4,591.6818181818181,1626846300,1624492800
104.163.204.204,8333,IPv4,117.86363636363636,1626846300,1610323200
104.165.53.10,8333,IPv4,333.1764705882353,1671571800,1668643200
104.165.59.101,8333,IPv4,311.94444444444446,1671571800,1668729600
104.166.250.155,8333,IPv4,143.84745762711864,1671572700,1665878400
104.166.89.122,8333,IPv4,156.84337349397592,1626908400,1611273600
104.166.89.123,8333,IPv4,185.04347826086956,1626908400,1621555200
104.169.251.32,8333,IPv4,15327.583333333334,1626820200,1624752000
104.171.242.116,8333,IPv4,149.77372262773721,1626821100,1614124800
104.172.138.77,8333,IPv4,169.88172043010752,1626821100,1618099200
104.172.234.211,8333,IPv4,170.60402684563758,1626909300,1613088000
104.172.235.227,8333,IPv4,166.44225352112676,1671572700,1639958400
104.177.197.2,8333,IPv4,306.88,1671572700,1668816000
104.178.96.208,8333,IPv4,2256.2903225806454,1671504300,1668470400
104.180.195.209,8333,IPv4,169.3015873015873,1626846300,1620864000
104.182.239.10,8333,IPv4,158.14285714285714,1671572700,1669680000
104.185.46.247,8333,IPv4,171.4,1671496200,1670630400
104.187.161.81,8333,IPv4,133.0,1626845400,1624665600
104.187.64.38,8333,IPv4,115.94174757281553,1626821100,1617408000
104.188.8.132,8333,IPv4,119.08823529411765,1671504300,1668470400
104.199.43.183,8333,IPv4,57.083333333333336,1671504300,1670457600
104.199.66.224,8333,IPv4,12.35135135135135,1626820200,1616457600
104.199.71.15,8333,IPv4,12.12295081967213,1671504300,1639958400
104.2.96.26,8333,IPv4,132.36666666666667,1626821100,1623542400
104.200.65.234,8333,IPv4,157.28682170542635,1671504300,1649030400
104.217.252.25,8333,IPv4,121.62781954887218,1626845400,1602633600
104.218.16.214,8333,IPv4,116.53684210526316,1626909300,1609804800
104.218.51.82,8333,IPv4,84.45077720207254,1626846300,1609286400
104.219.250.47,8333,IPv4,143.88095238095238,1626845400,1622678400
104.219.251.30,8333,IPv4,172.18072289156626,1626821100,1611360000
104.222.115.224,8333,IPv4,158.0,1626846300,1626739200
104.222.126.115,8333,IPv4,104.4375,1671572700,1670112000
104.233.172.27,8333,IPv4,263.92913385826773,1671571800,1660521600
104.236.142.204,8333,IPv4,161.78285714285715,1626845400,1595289600
104.236.227.239,8333,IPv4,82.93975903614458,1626822000,1619222400
104.238.129.132,8333,IPv4,83.33333333333333,1626820200,1626220800
104.238.176.16,8333,IPv4,5.23125,1626845400,1612310400
104.238.220.199,8333,IPv4,149.67908309455586,1626821100,1595203200
104.243.57.89,8333,IPv4,149.3913043478261,1671495300,1666915200
104.244.73.6,8333,IPv4,15.399390243902438,1671504300,1643068800
104.245.125.251,8333,IPv4,122.63470319634703,1626909300,1607126400
104.247.243.82,8333,IPv4,168.91666666666666,1671496200,1667260800
104.248.136.82,8333,IPv4,5.0,1626846300,1626393600
104.248.139.211,8333,IPv4,5.589041095890411,1671496200,1639958400
104.248.143.83,8333,IPv4,8.821428571428571,1671504300,1653955200
104.248.157.169,8333,IPv4,179.00526315789475,1671495300,1654300800
104.248.157.8,8332,IPv4,178.15300546448088,1671496200,1655683200
104.248.16.27,8333,IPv4,5.076502732240437,1671495300,1639958400
104.248.160.118,8333,IPv4,24.398936170212767,1671572700,1654732800
104.248.162.68,8333,IPv4,21.311475409836067,1671504300,1639958400
104.248.165.25,8333,IPv4,18.933526011560694,1626909300,1595289600
104.248.199.192,8332,IPv4,15.711627906976744,1671496200,1652918400
104.248.2.226,8333,IPv4,81.80172413793103,1626846300,1595376000
104.248.200.139,8332,IPv4,19.491329479768787,1671504300,1656547200
104.248.207.3,8333,IPv4,12.904,1626822000,1615420800
104.248.21.247,8333,IPv4,5.044444444444444,1626909300,1618358400
104.248.245.250,8333,IPv4,5.0633608815427,1671495300,1639958400
104.248.246.94,8333,IPv4,5.074074074074074,1626846300,1611964800
